ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-04-23,23.205272960840396,-113.75881320930468,131.32980400818658,23.205272960840396,23.205272960840396,-7.925691110748934,-7.925691110748934,-7.925691110748934,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.3841330487650434,0.3841330487650434,0.3841330487650434,0.0,0.0,0.0,15.279581850091462
2021-04-24,23.367724683261983,-104.80340161654759,130.6776984888333,23.367724683261983,23.367724683261983,-9.008033370622204,-9.008033370622204,-9.008033370622204,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.6982092111082282,-0.6982092111082282,-0.6982092111082282,0.0,0.0,0.0,14.359691312639779
2021-04-25,23.530176405683576,-97.9620280517408,132.04429049410643,23.530176405683576,23.530176405683576,-6.817574935772753,-6.817574935772753,-6.817574935772753,-8.309824159513976,-8.309824159513976,-8.309824159513976,1.492249223741224,1.492249223741224,1.492249223741224,0.0,0.0,0.0,16.712601469910823
2021-04-26,23.692628128105174,-94.03638354926282,141.85161019650522,23.692628128105174,23.692628128105174,-8.166757076208814,-8.166757076208814,-8.166757076208814,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.14306708330516202,0.14306708330516202,0.14306708330516202,0.0,0.0,0.0,15.52587105189636
2021-04-27,23.855079850526767,-112.627930002321,129.73727047937814,23.855079850526767,23.855079850526767,-9.531272500632015,-9.531272500632015,-9.531272500632015,-8.309824159513976,-8.309824159513976,-8.309824159513976,-1.2214483411180395,-1.2214483411180395,-1.2214483411180395,0.0,0.0,0.0,14.323807349894752
2021-04-28,24.017531572948364,-98.64718105764226,124.57887544650549,24.017531572948364,24.017531572948364,-8.244632136032346,-8.244632136032346,-8.244632136032346,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.06519202348162968,0.06519202348162968,0.06519202348162968,0.0,0.0,0.0,15.772899436916019
2021-04-29,24.17998329536996,-101.64763830925017,137.51521851191288,24.17998329536996,24.17998329536996,-8.474807986586736,-8.474807986586736,-8.474807986586736,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.16498382707275988,-0.16498382707275988,-0.16498382707275988,0.0,0.0,0.0,15.705175308783225
2021-04-30,24.342435017791544,-102.83088764215304,136.87106086401394,24.342435017791544,24.342435017791544,-7.925691110749496,-7.925691110749496,-7.925691110749496,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.3841330487644795,0.3841330487644795,0.3841330487644795,0.0,0.0,0.0,16.416743907042047
2021-05-01,24.50488674021313,-97.97823844015831,135.4396814521769,24.50488674021313,24.50488674021313,-9.008033370620872,-9.008033370620872,-9.008033370620872,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.6982092111068965,-0.6982092111068965,-0.6982092111068965,0.0,0.0,0.0,15.496853369592259
2021-05-02,24.667338462634728,-98.50297436090912,130.05854748233563,24.667338462634728,24.667338462634728,-6.817574935773273,-6.817574935773273,-6.817574935773273,-8.309824159513976,-8.309824159513976,-8.309824159513976,1.4922492237407035,1.4922492237407035,1.4922492237407035,0.0,0.0,0.0,17.849763526861455
2021-05-03,24.82979018505632,-93.16210715615966,137.29527092684248,24.82979018505632,24.82979018505632,-8.166757076208988,-8.166757076208988,-8.166757076208988,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.14306708330498838,0.14306708330498838,0.14306708330498838,0.0,0.0,0.0,16.663033108847333
2021-05-04,24.992241907477922,-97.03479942150948,132.18940842327828,24.992241907477922,24.992241907477922,-9.531272500628601,-9.531272500628601,-9.531272500628601,-8.309824159513976,-8.309824159513976,-8.309824159513976,-1.2214483411146235,-1.2214483411146235,-1.2214483411146235,0.0,0.0,0.0,15.46096940684932
2021-05-05,25.145890332719958,-97.11424141969783,137.45388576983777,25.145890332719958,25.145890332719958,-8.244632136032168,-8.244632136032168,-8.244632136032168,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.06519202348180873,0.06519202348180873,0.06519202348180873,0.0,0.0,0.0,16.90125819668779
2021-05-06,25.299538757962004,-103.38902900011156,141.46134703697498,25.299538757962004,25.299538757962004,-8.474807986585171,-8.474807986585171,-8.474807986585171,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.16498382707119524,-0.16498382707119524,-0.16498382707119524,0.0,0.0,0.0,16.824730771376835
2021-05-07,25.45318718320405,-97.95605982215565,131.56632841143747,25.45318718320405,25.45318718320405,-7.92569111074999,-7.92569111074999,-7.92569111074999,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.38413304876398524,0.38413304876398524,0.38413304876398524,0.0,0.0,0.0,17.52749607245406
2021-05-08,25.606835608446087,-102.55263330673768,129.23855235373196,25.606835608446087,25.606835608446087,-9.008033370619541,-9.008033370619541,-9.008033370619541,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.6982092111055644,-0.6982092111055644,-0.6982092111055644,0.0,0.0,0.0,16.598802237826547
2021-05-09,25.760484033688122,-87.19309311061762,133.00591120494948,25.760484033688122,25.760484033688122,-6.817574935773793,-6.817574935773793,-6.817574935773793,-8.309824159513976,-8.309824159513976,-8.309824159513976,1.4922492237401825,1.4922492237401825,1.4922492237401825,0.0,0.0,0.0,18.94290909791433
2021-05-10,25.91413245893016,-107.89173761063878,140.54110370191805,25.91413245893016,25.91413245893016,-8.166757076202186,-8.166757076202186,-8.166757076202186,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.14306708331179022,0.14306708331179022,0.14306708331179022,0.0,0.0,0.0,17.747375382727974
2021-05-11,26.067780884172205,-103.07675077664761,127.96711420801003,26.067780884172205,26.067780884172205,-9.531272500625183,-9.531272500625183,-9.531272500625183,-8.309824159513976,-8.309824159513976,-8.309824159513976,-1.2214483411112074,-1.2214483411112074,-1.2214483411112074,0.0,0.0,0.0,16.536508383547023
2021-05-12,26.22142930941424,-100.34379759687158,134.13443998003336,26.22142930941424,26.22142930941424,-8.244632136034147,-8.244632136034147,-8.244632136034147,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.06519202347982972,0.06519202347982972,0.06519202347982972,0.0,0.0,0.0,17.976797173380092
2021-05-13,26.375077734656287,-96.63828372453327,129.70555141418194,26.375077734656287,26.375077734656287,-8.474807986585779,-8.474807986585779,-8.474807986585779,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.16498382707180226,-0.16498382707180226,-0.16498382707180226,0.0,0.0,0.0,17.900269748070507
2021-05-14,26.528726159898323,-95.46823737603813,139.60647634572132,26.528726159898323,26.528726159898323,-7.925691110750555,-7.925691110750555,-7.925691110750555,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.38413304876342136,0.38413304876342136,0.38413304876342136,0.0,0.0,0.0,18.603035049147767
2021-05-15,26.682374585140366,-89.39829924930736,130.83057073091433,26.682374585140366,26.682374585140366,-9.008033370620318,-9.008033370620318,-9.008033370620318,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.6982092111063414,-0.6982092111063414,-0.6982092111063414,0.0,0.0,0.0,17.674341214520048
2021-05-16,26.836023010382394,-92.22326669425027,136.12783662684828,26.836023010382394,26.836023010382394,-6.817574935774314,-6.817574935774314,-6.817574935774314,-8.309824159513976,-8.309824159513976,-8.309824159513976,1.4922492237396618,1.4922492237396618,1.4922492237396618,0.0,0.0,0.0,20.01844807460808
2021-05-17,26.98967143562444,-103.10465478916427,136.71794358859597,26.98967143562444,26.98967143562444,-8.16675707620716,-8.16675707620716,-8.16675707620716,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.14306708330681528,0.14306708330681528,0.14306708330681528,0.0,0.0,0.0,18.822914359417283
2021-05-18,27.14331986086648,-90.46928149359475,130.72201343831375,27.14331986086648,27.14331986086648,-9.531272500631403,-9.531272500631403,-9.531272500631403,-8.309824159513976,-8.309824159513976,-8.309824159513976,-1.2214483411174253,-1.2214483411174253,-1.2214483411174253,0.0,0.0,0.0,17.612047360235078
2021-05-19,27.272116839966397,-112.1417576351222,132.30739771423103,27.272116839966397,27.272116839966397,-8.244632136032246,-8.244632136032246,-8.244632136032246,-8.309824159513976,-8.309824159513976,-8.309824159513976,0.0651920234817293,0.0651920234817293,0.0651920234817293,0.0,0.0,0.0,19.02748470393415
2021-05-20,27.40091381906631,-94.85838914671754,137.3471898291195,27.40091381906631,27.40091381906631,-8.474807986586384,-8.474807986586384,-8.474807986586384,-8.309824159513976,-8.309824159513976,-8.309824159513976,-0.16498382707240936,-0.16498382707240936,-0.16498382707240936,0.0,0.0,0.0,18.926105832479927
